geografia_sk,address_id,city,line1,postal_code,provincia_nombre,provincia_code
-1,-1,N/A,,,,
1,1,Buenos Aires,Sucursal Buenos Aires - Av. Principal 101,1001.0,Buenos Aires,BA
2,2,Córdoba,Sucursal Córdoba - Av. Principal 102,1002.0,Córdoba,CBA
3,3,Santa Fe,Sucursal Santa Fe - Av. Principal 103,1003.0,Santa Fe,SF
4,4,Mendoza,Sucursal Mendoza - Av. Principal 104,1004.0,Mendoza,MZA
5,1001,Córdoba,Calle 5545,4934.0,Córdoba,CBA
6,1002,Rafaela,Calle 2808,2071.0,Santa Fe,SF
7,1003,CABA,Calle 3108,7131.0,Buenos Aires,BA
8,1004,Río Cuarto,Calle 4007,9773.0,Córdoba,CBA
9,1005,Santa Fe,Calle 4050,3071.0,Santa Fe,SF
10,1006,Godoy Cruz,Calle 3429,2062.0,Mendoza,MZA
11,1007,Mar del Plata,Calle 8343,3932.0,Buenos Aires,BA
12,1008,Río Cuarto,Calle 7919,5396.0,Córdoba,CBA
13,1009,Río Cuarto,Calle 600,8406.0,Córdoba,CBA
14,1010,La Plata,Calle 6964,7129.0,Buenos Aires,BA
15,1011,Córdoba,Calle 1377,4771.0,Córdoba,CBA
16,1012,Mar del Plata,Calle 5512,8086.0,Buenos Aires,BA
17,1013,La Plata,Calle 5195,3942.0,Buenos Aires,BA
18,1014,Mar del Plata,Calle 1244,9220.0,Buenos Aires,BA
19,1015,CABA,Calle 4529,2168.0,Buenos Aires,BA
20,1016,CABA,Calle 5469,5096.0,Buenos Aires,BA
21,1017,Río Cuarto,Calle 4497,9898.0,Córdoba,CBA
22,1018,La Plata,Calle 4618,1194.0,Buenos Aires,BA
23,1019,Córdoba,Calle 6513,8773.0,Córdoba,CBA
24,1020,Mar del Plata,Calle 7680,2406.0,Buenos Aires,BA
25,1021,Santa Fe,Calle 6844,1493.0,Santa Fe,SF
26,1022,CABA,Calle 5007,6810.0,Buenos Aires,BA
27,1023,La Plata,Calle 6609,6342.0,Buenos Aires,BA
28,1024,Córdoba,Calle 2280,7247.0,Córdoba,CBA
29,1025,Mendoza,Calle 8758,2779.0,Mendoza,MZA
30,1026,Villa Carlos Paz,Calle 4992,3910.0,Córdoba,CBA
31,1027,Rafaela,Calle 8006,2138.0,Santa Fe,SF
32,1028,CABA,Calle 4770,8449.0,Buenos Aires,BA
33,1029,CABA,Calle 2816,3572.0,Buenos Aires,BA
34,1030,La Plata,Calle 7836,4382.0,Buenos Aires,BA
35,1031,Santa Fe,Calle 7082,3601.0,Santa Fe,SF
36,1032,Río Cuarto,Calle 7520,3337.0,Córdoba,CBA
37,1033,La Plata,Calle 9910,9043.0,Buenos Aires,BA
38,1034,CABA,Calle 1493,6681.0,Buenos Aires,BA
39,1035,CABA,Calle 6801,8501.0,Buenos Aires,BA
40,1036,Mendoza,Calle 9317,4927.0,Mendoza,MZA
41,1037,Mar del Plata,Calle 8811,4559.0,Buenos Aires,BA
42,1038,Mar del Plata,Calle 1987,9264.0,Buenos Aires,BA
43,1039,CABA,Calle 4142,8572.0,Buenos Aires,BA
44,1040,Mar del Plata,Calle 7568,4185.0,Buenos Aires,BA
45,1041,La Plata,Calle 1879,8606.0,Buenos Aires,BA
46,1042,CABA,Calle 8986,3297.0,Buenos Aires,BA
47,1043,Rosario,Calle 2795,3903.0,Santa Fe,SF
48,1044,Mar del Plata,Calle 6404,5476.0,Buenos Aires,BA
49,1045,CABA,Calle 3550,8242.0,Buenos Aires,BA
50,1046,Rafaela,Calle 1685,8274.0,Santa Fe,SF
51,1047,Córdoba,Calle 6184,4908.0,Córdoba,CBA
52,1048,La Plata,Calle 458,2035.0,Buenos Aires,BA
53,1049,Mendoza,Calle 2751,7810.0,Mendoza,MZA
54,1050,La Plata,Calle 5287,4393.0,Buenos Aires,BA
55,1051,La Plata,Calle 1980,6842.0,Buenos Aires,BA
56,1052,La Plata,Calle 5182,8516.0,Buenos Aires,BA
57,1053,La Plata,Calle 6046,7735.0,Buenos Aires,BA
58,1054,Santa Fe,Calle 1669,5127.0,Santa Fe,SF
59,1055,Río Cuarto,Calle 6367,6440.0,Córdoba,CBA
60,1056,Río Cuarto,Calle 5210,6490.0,Córdoba,CBA
61,1057,Río Cuarto,Calle 7355,9248.0,Córdoba,CBA
62,1058,Mar del Plata,Calle 2033,4990.0,Buenos Aires,BA
63,1059,La Plata,Calle 8172,7156.0,Buenos Aires,BA
64,1060,Córdoba,Calle 9799,3199.0,Córdoba,CBA
65,1061,CABA,Calle 8534,1388.0,Buenos Aires,BA
66,1062,Santa Fe,Calle 5616,5068.0,Santa Fe,SF
67,1063,Villa Carlos Paz,Calle 8544,1099.0,Córdoba,CBA
68,1064,Rosario,Calle 3154,4345.0,Santa Fe,SF
69,1065,Mar del Plata,Calle 8993,7983.0,Buenos Aires,BA
70,1066,Mar del Plata,Calle 3237,5079.0,Buenos Aires,BA
71,1067,La Plata,Calle 3300,6891.0,Buenos Aires,BA
72,1068,La Plata,Calle 7232,3553.0,Buenos Aires,BA
73,1069,La Plata,Calle 7003,3878.0,Buenos Aires,BA
74,1070,La Plata,Calle 7432,2178.0,Buenos Aires,BA
75,1071,La Plata,Calle 3207,1210.0,Buenos Aires,BA
76,1072,Villa Carlos Paz,Calle 8052,7113.0,Córdoba,CBA
77,1073,Mar del Plata,Calle 9639,3039.0,Buenos Aires,BA
78,1074,Mendoza,Calle 3183,9349.0,Mendoza,MZA
79,1075,Villa Carlos Paz,Calle 946,5043.0,Córdoba,CBA
80,1076,La Plata,Calle 463,5281.0,Buenos Aires,BA
81,1077,Mendoza,Calle 4167,1202.0,Mendoza,MZA
82,1078,Rafaela,Calle 6298,9495.0,Santa Fe,SF
83,1079,Rosario,Calle 6994,9202.0,Santa Fe,SF
84,1080,Villa Carlos Paz,Calle 9603,2456.0,Córdoba,CBA
85,1081,Villa Carlos Paz,Calle 2339,7520.0,Córdoba,CBA
86,1082,CABA,Calle 8057,7845.0,Buenos Aires,BA
87,1083,La Plata,Calle 7061,4053.0,Buenos Aires,BA
88,1084,CABA,Calle 8235,4041.0,Buenos Aires,BA
89,1085,CABA,Calle 3144,2789.0,Buenos Aires,BA
90,1086,CABA,Calle 6189,6605.0,Buenos Aires,BA
91,1087,Villa Carlos Paz,Calle 7950,2000.0,Córdoba,CBA
92,1088,Rosario,Calle 9543,9557.0,Santa Fe,SF
93,1089,Mar del Plata,Calle 4356,8036.0,Buenos Aires,BA
94,1090,La Plata,Calle 5165,7200.0,Buenos Aires,BA
95,1091,Godoy Cruz,Calle 1642,3275.0,Mendoza,MZA
96,1092,Río Cuarto,Calle 4579,8404.0,Córdoba,CBA
97,1093,Mar del Plata,Calle 3080,1272.0,Buenos Aires,BA
98,1094,Rafaela,Calle 5334,8938.0,Santa Fe,SF
99,1095,Córdoba,Calle 5708,7305.0,Córdoba,CBA
100,1096,Río Cuarto,Calle 2346,3094.0,Córdoba,CBA
101,1097,Santa Fe,Calle 8991,2895.0,Santa Fe,SF
102,1098,Córdoba,Calle 3988,2728.0,Córdoba,CBA
103,1099,Mendoza,Calle 2626,4610.0,Mendoza,MZA
104,1100,Río Cuarto,Calle 2017,2481.0,Córdoba,CBA
