nps_sk,nps_id,fecha_key,cliente_sk,canal_sk,score
1,13000000000,20240601,1083,1,10
2,13000000001,20240311,1383,1,5
3,13000000002,20240411,179,1,10
4,13000000003,20240630,566,1,7
5,13000000004,20250205,1004,1,8
6,13000000005,20250614,1261,1,10
7,13000000006,20240419,1376,1,6
8,13000000007,20240703,837,1,3
9,13000000008,20250721,994,1,7
10,13000000009,20240413,192,1,8
11,13000000010,20241104,1330,1,6
12,13000000011,20250703,442,2,0
13,13000000012,20250430,57,1,7
14,13000000013,20250807,559,1,8
15,13000000014,20250416,130,1,10
16,13000000015,20240626,238,2,4
17,13000000016,20250417,629,1,8
18,13000000017,20240520,1162,2,7
19,13000000018,20241005,80,2,9
20,13000000019,20240319,1233,2,2
21,13000000020,20240810,217,1,2
22,13000000021,20250819,1015,2,5
23,13000000022,20240408,1086,2,7
24,13000000023,20240128,692,1,9
25,13000000024,20241026,960,1,6
26,13000000025,20250330,695,2,2
27,13000000026,20250607,438,1,10
28,13000000027,20250508,564,1,9
29,13000000028,20250525,1261,1,7
30,13000000029,20240610,1122,2,4
31,13000000030,20251006,1427,1,5
32,13000000031,20240830,661,1,10
33,13000000032,20250208,1055,2,8
34,13000000033,20250308,321,2,8
35,13000000034,20240722,500,1,10
36,13000000035,20240618,544,1,8
37,13000000036,20240723,1405,2,8
38,13000000037,20240831,952,1,5
39,13000000038,20241229,128,2,3
40,13000000039,20250702,342,2,8
41,13000000040,20240521,19,2,3
42,13000000041,20240722,189,1,8
43,13000000042,20250907,797,1,4
44,13000000043,20241211,1004,2,8
45,13000000044,20250330,426,2,9
46,13000000045,20250813,1026,1,8
47,13000000046,20250419,812,2,7
48,13000000047,20240313,994,1,10
49,13000000048,20250723,1171,2,10
50,13000000049,20250326,1207,2,2
51,13000000050,20241118,1467,1,8
52,13000000051,20240606,1484,2,8
53,13000000052,20240523,815,1,9
54,13000000053,20240705,500,1,9
55,13000000054,20241216,1048,2,10
56,13000000055,20240414,19,1,7
57,13000000056,20241005,804,2,7
