pago_sk,payment_id,order_id,fecha_key,method,status,amount
1,7000000000,1000000000,20241127,CARD,PAID,63636.0
2,7000000001,1000000001,0,GATEWAY,PENDING,78146.4
3,7000000002,1000000002,20250228,CARD,PAID,32064.6
4,7000000003,1000000003,20250302,CARD,PAID,30855.0
5,7000000004,1000000004,20240401,CARD,PAID,53451.75
6,7000000005,1000000005,20240313,CASH,PAID,29040.0
7,7000000006,1000000006,20250717,CARD,REFUNDED,18442.5
8,7000000007,1000000007,20241114,CARD,PAID,17535.0
9,7000000008,1000000008,20240825,CARD,PAID,109011.0
10,7000000009,1000000009,20240331,GATEWAY,PAID,16718.25
11,7000000010,1000000010,20240314,TRANSFER,REFUNDED,17787.0
12,7000000011,1000000011,20250617,CASH,PAID,41309.4
13,7000000012,1000000012,20240812,CARD,PAID,42688.8
14,7000000013,1000000013,20250323,CASH,PAID,123283.88
15,7000000014,1000000014,20250820,CARD,PAID,15129.6
16,7000000015,1000000015,0,CARD,FAILED,29659.2
17,7000000016,1000000016,20250829,GATEWAY,PAID,28642.8
18,7000000017,1000000017,20250220,CARD,PAID,80912.7
19,7000000018,1000000018,0,GATEWAY,FAILED,100107.9
20,7000000019,1000000019,20250423,CARD,PAID,46023.24
21,7000000020,1000000020,20240506,CARD,PAID,59895.0
22,7000000021,1000000021,20250925,CARD,PAID,29659.2
23,7000000022,1000000022,20240402,TRANSFER,REFUNDED,29040.0
24,7000000023,1000000023,20250708,CASH,PAID,82764.0
25,7000000024,1000000024,20250303,CARD,PAID,14229.6
26,7000000025,1000000025,20250827,CARD,PAID,86005.88
27,7000000026,1000000026,20241215,CARD,PAID,17535.0
28,7000000027,1000000027,20241202,CARD,PAID,28488.0
29,7000000028,1000000028,20240518,CARD,PAID,14520.0
30,7000000029,1000000029,20250914,CARD,PAID,79235.4
31,7000000030,1000000030,20250611,CARD,PAID,41382.0
32,7000000031,1000000031,20250513,CASH,PAID,28459.2
33,7000000032,1000000032,20250316,CARD,PAID,33870.0
34,7000000033,1000000033,20240608,CASH,PAID,17787.0
35,7000000034,1000000034,20241119,CASH,PAID,103318.88
36,7000000035,1000000035,20240113,CARD,PAID,26136.0
37,7000000036,1000000036,20240926,CARD,PAID,61158.0
38,7000000037,1000000037,20240127,CARD,PAID,31082.16
39,7000000038,1000000038,20240202,CARD,PAID,14229.6
40,7000000039,1000000039,20240523,CARD,PAID,71583.6
41,7000000040,1000000040,0,CARD,FAILED,14994.0
42,7000000041,1000000041,20240115,CASH,PAID,29657.1
43,7000000042,1000000042,20240928,GATEWAY,PAID,13914.6
44,7000000043,1000000043,20240522,CARD,PAID,48816.0
45,7000000044,1000000044,20250905,GATEWAY,PAID,90435.0
46,7000000045,1000000045,20240203,GATEWAY,PAID,44460.0
47,7000000046,1000000046,20240115,CARD,PAID,39930.0
48,7000000047,1000000047,20240308,CASH,PAID,13068.0
49,7000000048,1000000048,0,CARD,PENDING,28459.2
50,7000000049,1000000049,20240813,TRANSFER,PAID,49005.0
51,7000000050,1000000050,20240725,GATEWAY,PAID,35685.0
52,7000000051,1000000051,20240918,CARD,PAID,38252.7
53,7000000052,1000000052,20241106,CARD,PAID,85377.6
54,7000000053,1000000053,0,CARD,FAILED,33570.0
55,7000000054,1000000054,20240318,CASH,PAID,14941.08
56,7000000055,1000000055,20250724,CARD,PAID,51727.5
57,7000000056,1000000056,20250415,CARD,PAID,87140.25
58,7000000057,1000000057,20250223,CASH,PAID,34394.25
59,7000000058,1000000058,0,CARD,FAILED,53953.5
60,7000000059,1000000059,20240703,CARD,PAID,77682.0
61,7000000060,1000000060,0,CARD,FAILED,35283.6
62,7000000061,1000000061,20250303,CARD,PAID,15720.0
63,7000000062,1000000062,20241224,TRANSFER,PAID,54450.0
64,7000000063,1000000063,20240601,GATEWAY,PAID,46323.24
65,7000000064,1000000064,20250307,GATEWAY,PAID,19168.5
66,7000000065,1000000065,20240918,GATEWAY,PAID,43888.8
67,7000000066,1000000066,0,GATEWAY,FAILED,43888.8
68,7000000067,1000000067,20250412,GATEWAY,REFUNDED,18687.0
69,7000000068,1000000068,20241204,CARD,PAID,102166.35
70,7000000069,1000000069,20240614,CARD,PAID,53361.0
71,7000000070,1000000070,20250728,CARD,PAID,15420.0
72,7000000071,1000000071,20240724,CARD,PAID,14229.6
73,7000000072,1000000072,20240204,GATEWAY,PAID,17018.25
74,7000000073,1000000073,20241209,CARD,PAID,19576.35
75,7000000074,1000000074,20241214,CARD,PAID,69071.4
76,7000000075,1000000075,20250324,CARD,PAID,36474.0
77,7000000076,1000000076,20240302,CARD,PAID,29659.2
78,7000000077,1000000077,20241206,CASH,PAID,28459.2
79,7000000078,1000000078,20250112,CARD,PAID,49186.5
80,7000000079,1000000079,20250918,GATEWAY,PAID,40404.0
81,7000000080,1000000080,20241111,CARD,PAID,18687.0
82,7000000081,1000000081,20250202,CARD,PAID,64788.0
83,7000000082,1000000082,20250921,CARD,PAID,42582.0
84,7000000083,1000000083,20240213,GATEWAY,REFUNDED,47301.0
85,7000000084,1000000084,20241127,GATEWAY,PAID,19050.0
86,7000000085,1000000085,20250302,GATEWAY,PAID,16441.08
87,7000000086,1000000086,20250820,GATEWAY,PAID,14268.0
88,7000000087,1000000087,0,CARD,FAILED,14994.0
89,7000000088,1000000088,20240203,GATEWAY,PAID,69144.0
90,7000000089,1000000089,20250620,CARD,PAID,18442.5
91,7000000090,1000000090,20240129,CARD,PAID,45458.25
92,7000000091,1000000091,20240219,GATEWAY,PAID,110342.92
93,7000000092,1000000092,20240615,GATEWAY,PAID,37200.0
94,7000000093,1000000093,20241115,CASH,PAID,102456.75
95,7000000094,1000000094,20241229,CASH,PAID,90387.0
96,7000000095,1000000095,20250926,GATEWAY,PAID,59897.1
97,7000000096,1000000096,20250524,CASH,PAID,42688.8
98,7000000097,1000000097,20240614,CASH,PAID,18676.35
99,7000000098,1000000098,20250117,CARD,PAID,44351.1
100,7000000099,1000000099,20240228,CARD,PAID,14520.0
101,7000000100,1000000100,0,CARD,FAILED,28909.08
102,7000000101,1000000101,20240331,GATEWAY,PAID,44460.0
103,7000000102,1000000102,20241120,CARD,PAID,43888.8
104,7000000103,1000000103,0,CASH,PENDING,37243.8
105,7000000104,1000000104,20240324,CARD,REFUNDED,37500.0
106,7000000105,1000000105,20240512,CARD,PAID,27336.0
107,7000000106,1000000106,20250210,GATEWAY,PAID,19050.0
108,7000000107,1000000107,20240522,CARD,PAID,42064.2
109,7000000108,1000000108,20250704,CASH,PAID,56029.05
110,7000000109,1000000109,20240424,CARD,PAID,39930.0
111,7000000110,1000000110,0,TRANSFER,FAILED,82364.7
112,7000000111,1000000111,20241221,GATEWAY,PAID,19876.35
113,7000000112,1000000112,20250302,CASH,PAID,92891.7
114,7000000113,1000000113,0,CARD,FAILED,15652.56
115,7000000114,1000000114,20240919,TRANSFER,PAID,11761.2
