pedido_sk,order_id,fecha_key,cliente_sk,canal_sk,geografia_sk,tienda_sk,subtotal,tax_amount,shipping_fee,total_amount
1,1000000000,20241126,356,1,599,-1,51600.0,10836.0,1200.0,63636.0
2,1000000002,20250226,1234,1,3067,-1,25260.0,5304.6,1500.0,32064.6
3,1000000003,20250301,156,1,511,-1,25500.0,5355.0,0.0,30855.0
4,1000000004,20240330,616,2,4,4,44175.0,9276.75,0.0,53451.75
5,1000000005,20240312,614,2,2,2,24000.0,5040.0,0.0,29040.0
6,1000000007,20241111,17,1,2581,-1,13500.0,2835.0,1200.0,17535.0
7,1000000008,20240825,1148,1,494,-1,89100.0,18711.0,1200.0,109011.0
8,1000000009,20240330,1037,1,978,-1,12825.0,2693.25,1200.0,16718.25
9,1000000011,20250617,1239,2,4,4,34140.0,7169.4,0.0,41309.4
10,1000000012,20240809,1426,2,3,3,35280.0,7408.8,0.0,42688.8
11,1000000013,20250323,862,2,1,1,101887.5,21396.38,0.0,123283.88
12,1000000014,20250818,181,1,2921,-1,11760.0,2469.6,900.0,15129.6
13,1000000016,20250827,475,1,2562,-1,22680.0,4762.8,1200.0,28642.8
14,1000000017,20250219,753,2,2,2,66870.0,14042.7,0.0,80912.7
15,1000000019,20250421,793,1,2616,-1,37044.0,7779.24,1200.0,46023.24
16,1000000020,20240506,866,1,2378,-1,49500.0,10395.0,0.0,59895.0
17,1000000021,20250923,1110,1,1549,-1,23520.0,4939.2,1200.0,29659.2
18,1000000023,20250705,379,2,3,3,68400.0,14364.0,0.0,82764.0
19,1000000024,20250302,441,2,2,2,11760.0,2469.6,0.0,14229.6
20,1000000025,20250826,125,1,516,-1,70087.5,14718.38,1200.0,86005.88
21,1000000026,20241212,1201,1,301,-1,13500.0,2835.0,1200.0,17535.0
22,1000000027,20241202,1055,1,1862,-1,22800.0,4788.0,900.0,28488.0
23,1000000028,20240517,382,1,1423,-1,12000.0,2520.0,0.0,14520.0
24,1000000029,20250914,1456,1,1425,-1,64740.0,13595.4,900.0,79235.4
25,1000000030,20250609,1377,2,4,4,34200.0,7182.0,0.0,41382.0
26,1000000031,20250510,1375,2,4,4,23520.0,4939.2,0.0,28459.2
27,1000000032,20250315,821,1,924,-1,27000.0,5670.0,1200.0,33870.0
28,1000000033,20240608,1475,2,4,4,14700.0,3087.0,0.0,17787.0
29,1000000034,20241117,634,2,2,2,85387.5,17931.38,0.0,103318.88
30,1000000035,20240112,585,2,1,1,21600.0,4536.0,0.0,26136.0
31,1000000036,20240924,180,1,1863,-1,49800.0,10458.0,900.0,61158.0
32,1000000037,20240126,482,1,2325,-1,24696.0,5186.16,1200.0,31082.16
33,1000000038,20240202,620,2,1,1,11760.0,2469.6,0.0,14229.6
34,1000000039,20240523,603,2,1,1,59160.0,12423.6,0.0,71583.6
35,1000000041,20240114,1005,2,3,3,24510.0,5147.1,0.0,29657.1
36,1000000042,20240927,790,1,33,-1,10260.0,2154.6,1500.0,13914.6
37,1000000043,20240521,665,1,2043,-1,39600.0,8316.0,900.0,48816.0
38,1000000044,20250902,562,1,1135,-1,73500.0,15435.0,1500.0,90435.0
39,1000000045,20240201,998,1,1984,-1,36000.0,7560.0,900.0,44460.0
40,1000000046,20240112,276,1,493,-1,33000.0,6930.0,0.0,39930.0
41,1000000047,20240308,1469,2,2,2,10800.0,2268.0,0.0,13068.0
42,1000000049,20240811,1360,2,2,2,40500.0,8505.0,0.0,49005.0
43,1000000050,20240725,1423,1,665,-1,28500.0,5985.0,1200.0,35685.0
44,1000000051,20240915,741,1,1867,-1,30870.0,6482.7,900.0,38252.7
45,1000000052,20241104,969,1,1612,-1,70560.0,14817.6,0.0,85377.6
46,1000000054,20240316,251,2,4,4,12348.0,2593.08,0.0,14941.08
47,1000000055,20250723,1087,2,1,1,42750.0,8977.5,0.0,51727.5
48,1000000056,20250412,659,1,1891,-1,71025.0,14915.25,1200.0,87140.25
49,1000000057,20250221,338,2,4,4,28425.0,5969.25,0.0,34394.25
50,1000000059,20240701,958,1,2539,-1,64200.0,13482.0,0.0,77682.0
51,1000000061,20250301,1337,1,88,-1,12000.0,2520.0,1200.0,15720.0
52,1000000062,20241223,1442,2,3,3,45000.0,9450.0,0.0,54450.0
53,1000000063,20240530,939,1,410,-1,37044.0,7779.24,1500.0,46323.24
54,1000000064,20250304,1409,1,311,-1,14850.0,3118.5,1200.0,19168.5
55,1000000065,20240917,1062,1,1403,-1,35280.0,7408.8,1200.0,43888.8
56,1000000068,20241201,77,1,624,-1,84435.0,17731.35,0.0,102166.35
57,1000000069,20240612,700,1,480,-1,44100.0,9261.0,0.0,53361.0
58,1000000070,20250725,425,1,432,-1,12000.0,2520.0,900.0,15420.0
59,1000000071,20240722,1271,2,3,3,11760.0,2469.6,0.0,14229.6
60,1000000072,20240202,1129,1,2540,-1,12825.0,2693.25,1500.0,17018.25
61,1000000073,20241207,1224,1,1123,-1,15435.0,3241.35,900.0,19576.35
62,1000000074,20241214,446,1,2068,-1,56340.0,11831.4,900.0,69071.4
63,1000000075,20250322,867,1,2685,-1,29400.0,6174.0,900.0,36474.0
64,1000000076,20240301,127,1,3189,-1,23520.0,4939.2,1200.0,29659.2
65,1000000077,20241204,874,2,1,1,23520.0,4939.2,0.0,28459.2
66,1000000078,20250109,814,1,2367,-1,40650.0,8536.5,0.0,49186.5
67,1000000079,20250916,1189,1,840,-1,32400.0,6804.0,1200.0,40404.0
68,1000000080,20241111,584,1,69,-1,14700.0,3087.0,900.0,18687.0
69,1000000081,20250202,1433,1,953,-1,52800.0,11088.0,900.0,64788.0
70,1000000082,20250921,670,1,3103,-1,34200.0,7182.0,1200.0,42582.0
71,1000000084,20241125,535,1,153,-1,15000.0,3150.0,900.0,19050.0
72,1000000085,20250301,655,1,2185,-1,12348.0,2593.08,1500.0,16441.08
73,1000000086,20250818,833,1,2251,-1,10800.0,2268.0,1200.0,14268.0
74,1000000088,20240203,360,1,1460,-1,56400.0,11844.0,900.0,69144.0
75,1000000089,20250618,1227,1,1176,-1,14250.0,2992.5,1200.0,18442.5
76,1000000090,20240127,624,1,38,-1,36825.0,7733.25,900.0,45458.25
77,1000000091,20240217,228,1,2302,-1,91192.5,19150.42,0.0,110342.92
78,1000000092,20240613,770,1,776,-1,30000.0,6300.0,900.0,37200.0
79,1000000093,20241114,54,2,2,2,84675.0,17781.75,0.0,102456.75
80,1000000094,20241227,1006,2,4,4,74700.0,15687.0,0.0,90387.0
81,1000000095,20250925,247,1,1295,-1,48510.0,10187.1,1200.0,59897.1
82,1000000096,20250523,1127,2,3,3,35280.0,7408.8,0.0,42688.8
83,1000000097,20240612,757,2,2,2,15435.0,3241.35,0.0,18676.35
84,1000000098,20250116,520,1,2447,-1,35910.0,7541.1,900.0,44351.1
85,1000000099,20240227,258,1,228,-1,12000.0,2520.0,0.0,14520.0
86,1000000101,20240330,3,1,223,-1,36000.0,7560.0,900.0,44460.0
87,1000000102,20241119,334,1,2867,-1,35280.0,7408.8,1200.0,43888.8
88,1000000105,20240512,176,1,2444,-1,21600.0,4536.0,1200.0,27336.0
89,1000000106,20250208,801,1,2960,-1,15000.0,3150.0,900.0,19050.0
90,1000000107,20240522,1113,1,1947,-1,34020.0,7144.2,900.0,42064.2
91,1000000108,20250704,810,2,4,4,46305.0,9724.05,0.0,56029.05
92,1000000109,20240422,581,2,4,4,33000.0,6930.0,0.0,39930.0
93,1000000111,20241220,1333,1,1880,-1,15435.0,3241.35,1200.0,19876.35
94,1000000112,20250228,24,2,2,2,76770.0,16121.7,0.0,92891.7
95,1000000114,20240917,63,2,1,1,9720.0,2041.2,0.0,11761.2
96,1000000116,20240701,1091,1,2613,-1,39600.0,8316.0,1200.0,49116.0
97,1000000117,20250119,524,1,1258,-1,24000.0,5040.0,1200.0,30240.0
98,1000000118,20250816,1229,1,2394,-1,38808.0,8149.68,900.0,47857.68
99,1000000119,20250716,458,2,4,4,14700.0,3087.0,0.0,17787.0
100,1000000120,20240418,68,1,1657,-1,11760.0,2469.6,0.0,14229.6
101,1000000121,20241220,959,2,4,4,37620.0,7900.2,0.0,45520.2
102,1000000122,20250830,356,2,1,1,36000.0,7560.0,0.0,43560.0
103,1000000124,20240206,1420,1,3008,-1,54684.0,11483.64,1200.0,67367.64
104,1000000125,20240709,279,2,3,3,51300.0,10773.0,0.0,62073.0
105,1000000126,20240612,779,2,3,3,15000.0,3150.0,0.0,18150.0
106,1000000127,20240228,1383,1,2117,-1,56850.0,11938.5,1200.0,69988.5
