session_sk,session_id,fecha_key,cliente_sk,source,device
1,11000000000,20240202,791,ads,desktop
2,11000000001,20250726,332,direct,desktop
3,11000000002,20240604,-1,email,mobile
4,11000000003,20240324,771,ads,mobile
5,11000000004,20240822,908,direct,mobile
6,11000000005,20240322,1222,referral,mobile
7,11000000006,20241003,490,ads,mobile
8,11000000007,20241011,705,ads,mobile
9,11000000008,20250311,1161,direct,mobile
10,11000000009,20240430,841,ads,mobile
11,11000000010,20250424,-1,referral,mobile
12,11000000011,20240209,162,social,mobile
13,11000000012,20240305,-1,social,mobile
14,11000000013,20250914,1477,ads,mobile
15,11000000014,20240612,-1,social,mobile
16,11000000015,20250828,60,ads,desktop
17,11000000016,20240322,520,direct,mobile
18,11000000017,20241102,-1,email,desktop
19,11000000018,20240406,-1,direct,mobile
20,11000000019,20240607,-1,ads,desktop
21,11000000020,20240528,575,direct,mobile
22,11000000021,20250427,508,direct,desktop
23,11000000022,20250118,-1,ads,mobile
24,11000000023,20240617,-1,ads,desktop
25,11000000024,20240811,99,direct,mobile
26,11000000025,20250424,1277,ads,mobile
27,11000000026,20240102,-1,direct,mobile
28,11000000027,20250503,95,direct,tablet
29,11000000028,20250326,1286,direct,mobile
30,11000000029,20240307,1176,direct,mobile
31,11000000030,20241001,1053,ads,desktop
32,11000000031,20240727,290,ads,mobile
33,11000000032,20240117,357,direct,mobile
34,11000000033,20240105,391,ads,mobile
35,11000000034,20250830,830,direct,desktop
36,11000000035,20250722,1076,ads,desktop
37,11000000036,20240719,-1,referral,mobile
38,11000000037,20250109,622,email,desktop
39,11000000038,20250509,990,social,mobile
40,11000000039,20250415,902,direct,desktop
41,11000000040,20250723,572,direct,mobile
42,11000000041,20240122,1088,direct,mobile
43,11000000042,20241109,1101,referral,mobile
44,11000000043,20240531,833,direct,mobile
45,11000000044,20240603,-1,ads,mobile
46,11000000045,20241228,1371,direct,mobile
47,11000000046,20240628,1090,direct,mobile
48,11000000047,20250219,250,direct,mobile
49,11000000048,20250807,135,direct,desktop
50,11000000049,20241124,334,direct,mobile
51,11000000050,20250807,779,direct,mobile
52,11000000051,20240124,1396,email,desktop
53,11000000052,20240315,-1,ads,mobile
54,11000000053,20250624,-1,direct,mobile
55,11000000054,20250329,732,direct,mobile
56,11000000055,20250611,1267,ads,desktop
57,11000000056,20241129,298,direct,mobile
58,11000000057,20241019,933,ads,mobile
59,11000000058,20240225,550,email,desktop
60,11000000059,20240501,-1,direct,mobile
61,11000000060,20250617,342,social,mobile
62,11000000061,20240109,568,referral,mobile
63,11000000062,20240823,498,email,tablet
64,11000000063,20250213,-1,ads,mobile
65,11000000064,20250805,1109,direct,desktop
66,11000000065,20240718,1211,ads,mobile
67,11000000066,20241227,1443,direct,mobile
68,11000000067,20241001,811,email,desktop
69,11000000068,20250811,1160,direct,desktop
70,11000000069,20240330,455,direct,mobile
71,11000000070,20240608,601,direct,mobile
72,11000000071,20240831,431,ads,mobile
73,11000000072,20240412,-1,ads,desktop
74,11000000073,20250909,80,ads,mobile
75,11000000074,20240315,-1,referral,mobile
76,11000000075,20241207,859,direct,mobile
77,11000000076,20250319,-1,social,mobile
78,11000000077,20240903,-1,referral,desktop
79,11000000078,20240220,233,ads,mobile
80,11000000079,20240219,1176,direct,desktop
81,11000000080,20250723,-1,direct,mobile
82,11000000081,20250707,-1,social,desktop
83,11000000082,20240924,181,direct,mobile
84,11000000083,20240406,1064,ads,mobile
85,11000000084,20250608,166,direct,mobile
86,11000000085,20240531,1230,referral,mobile
87,11000000086,20240422,-1,referral,tablet
88,11000000087,20240120,747,direct,mobile
89,11000000088,20240101,927,ads,tablet
90,11000000089,20250129,1009,direct,mobile
91,11000000090,20250528,1334,social,mobile
92,11000000091,20240929,51,email,desktop
93,11000000092,20241021,1436,referral,mobile
94,11000000093,20250120,859,direct,desktop
95,11000000094,20240922,1298,referral,mobile
96,11000000095,20241201,51,direct,mobile
97,11000000096,20241002,885,ads,mobile
98,11000000097,20240617,505,direct,mobile
99,11000000098,20240203,-1,ads,mobile
100,11000000099,20240211,1,direct,mobile
101,11000000100,20241229,781,direct,desktop
102,11000000101,20240328,540,ads,mobile
103,11000000102,20250317,-1,ads,mobile
104,11000000103,20250707,-1,direct,mobile
105,11000000104,20250809,-1,ads,desktop
106,11000000105,20250326,-1,referral,mobile
107,11000000106,20240322,718,direct,mobile
108,11000000107,20250605,-1,ads,mobile
109,11000000108,20250222,937,social,mobile
110,11000000109,20241217,855,ads,mobile
111,11000000110,20250212,1396,direct,mobile
112,11000000111,20250820,465,email,mobile
113,11000000112,20250409,-1,social,mobile
114,11000000113,20250324,-1,direct,mobile
115,11000000114,20240409,-1,ads,tablet
116,11000000115,20240707,785,ads,desktop
117,11000000116,20250325,49,ads,desktop
118,11000000117,20240303,725,email,desktop
119,11000000118,20241006,647,ads,mobile
120,11000000119,20250701,1014,direct,mobile
121,11000000120,20250424,892,direct,mobile
122,11000000121,20250202,130,referral,mobile
123,11000000122,20240525,633,referral,desktop
124,11000000123,20240108,-1,direct,desktop
125,11000000124,20241228,532,direct,mobile
126,11000000125,20241130,997,email,desktop
