ventas_item_sk,order_item_id,order_id,fecha_key,producto_sk,quantity,unit_price,discount_amount,line_total
1,5000000000,1000000000,20241126,2,2,15000.0,0.0,30000.0
2,5000000001,1000000000,20241126,1,2,12000.0,2400.0,21600.0
3,5000000005,1000000002,20250226,1,1,12000.0,240.0,11760.0
4,5000000006,1000000002,20250226,2,1,15000.0,1500.0,13500.0
5,5000000007,1000000003,20250301,1,1,12000.0,1200.0,10800.0
6,5000000008,1000000003,20250301,2,1,15000.0,300.0,14700.0
7,5000000009,1000000004,20240330,2,2,15750.0,1575.0,29925.0
8,5000000010,1000000004,20240330,2,1,15000.0,750.0,14250.0
9,5000000011,1000000005,20240312,1,2,12000.0,0.0,24000.0
10,5000000013,1000000007,20241111,2,1,15000.0,1500.0,13500.0
11,5000000014,1000000008,20240825,1,3,12000.0,0.0,36000.0
12,5000000015,1000000008,20240825,2,3,15000.0,4500.0,40500.0
13,5000000016,1000000008,20240825,1,1,12600.0,0.0,12600.0
14,5000000017,1000000009,20240330,2,1,13500.0,675.0,12825.0
15,5000000019,1000000011,20250617,2,1,15000.0,300.0,14700.0
16,5000000020,1000000011,20250617,1,2,10800.0,2160.0,19440.0
17,5000000021,1000000012,20240809,1,3,12000.0,720.0,35280.0
18,5000000022,1000000013,20250323,2,3,15750.0,2362.5,44887.5
19,5000000023,1000000013,20250323,1,3,12000.0,1800.0,34200.0
20,5000000024,1000000013,20250323,1,2,12000.0,1200.0,22800.0
21,5000000025,1000000014,20250818,1,1,12000.0,240.0,11760.0
22,5000000027,1000000016,20250827,1,2,12600.0,2520.0,22680.0
23,5000000028,1000000017,20250219,2,2,15750.0,630.0,30870.0
24,5000000029,1000000017,20250219,1,3,12000.0,0.0,36000.0
25,5000000033,1000000019,20250421,1,3,12600.0,756.0,37044.0
26,5000000034,1000000020,20240506,2,3,16500.0,0.0,49500.0
27,5000000035,1000000021,20250923,1,2,12000.0,480.0,23520.0
28,5000000037,1000000023,20250705,2,2,15000.0,600.0,29400.0
29,5000000038,1000000023,20250705,1,1,12000.0,0.0,12000.0
