id,customer_id,started_at_date_id,started_at_time,ended_at_date_id,ended_at_time,source,device
11000000000,791,273,15:54:00,273.0,16:05:00,ads,desktop
11000000001,332,813,11:49:20,813.0,11:57:20,direct,desktop
11000000002,-1,396,03:04:56,396.0,03:06:56,email,mobile
11000000003,771,324,15:50:13,324.0,16:30:13,ads,mobile
11000000004,908,475,16:47:04,475.0,17:00:04,direct,mobile
11000000005,1222,322,05:51:18,322.0,06:30:18,referral,mobile
11000000006,490,517,07:29:04,517.0,07:51:04,ads,mobile
11000000007,705,525,18:15:07,525.0,19:09:07,ads,mobile
11000000008,1161,676,19:44:43,676.0,19:53:43,direct,mobile
11000000009,841,361,03:13:06,361.0,03:26:06,ads,mobile
11000000010,-1,720,23:24:36,721.0,00:01:36,referral,mobile
11000000011,162,280,05:29:50,280.0,06:04:50,social,mobile
11000000012,-1,305,12:41:03,,00:00:00,social,mobile
11000000013,1477,863,06:05:32,863.0,07:03:32,ads,mobile
11000000014,-1,404,03:41:37,404.0,03:44:37,social,mobile
11000000015,60,846,02:39:38,846.0,03:35:38,ads,desktop
11000000016,520,322,00:57:44,322.0,01:13:44,direct,mobile
11000000017,-1,547,21:14:41,547.0,21:58:41,email,desktop
11000000018,-1,337,23:36:11,338.0,00:21:11,direct,mobile
11000000019,-1,399,05:25:21,399.0,06:21:21,ads,desktop
11000000020,575,389,03:18:27,389.0,03:55:27,direct,mobile
11000000021,508,723,23:37:39,724.0,00:14:39,direct,desktop
11000000022,-1,624,23:14:34,624.0,23:29:34,ads,mobile
11000000023,-1,409,06:59:44,409.0,07:32:44,ads,desktop
11000000024,99,464,11:31:53,464.0,12:07:53,direct,mobile
11000000025,1277,720,12:04:45,720.0,12:25:45,ads,mobile
11000000026,-1,242,22:43:00,,00:00:00,direct,mobile
11000000027,95,729,12:29:17,729.0,12:35:17,direct,tablet
11000000028,1286,691,23:10:58,691.0,23:49:58,direct,mobile
11000000029,1176,307,21:17:05,307.0,21:38:05,direct,mobile
11000000030,1053,515,10:32:08,515.0,11:26:08,ads,desktop
11000000031,290,449,16:49:46,449.0,16:59:46,ads,mobile
11000000032,357,257,07:46:02,257.0,08:11:02,direct,mobile
11000000033,391,245,15:19:41,245.0,15:37:41,ads,mobile
11000000034,830,848,07:25:30,848.0,07:32:30,direct,desktop
11000000035,1076,809,19:20:42,809.0,19:56:42,ads,desktop
11000000036,-1,441,22:49:39,441.0,22:58:39,referral,mobile
11000000037,622,615,09:17:08,615.0,10:05:08,email,desktop
11000000038,990,735,07:15:24,735.0,07:16:24,social,mobile
11000000039,902,711,08:05:16,711.0,08:25:16,direct,desktop
11000000040,572,810,18:19:47,,00:00:00,direct,mobile
11000000041,1088,262,22:31:25,262.0,22:39:25,direct,mobile
11000000042,1101,554,00:09:07,554.0,00:57:07,referral,mobile
11000000043,833,392,20:02:45,392.0,20:53:45,direct,mobile
11000000044,-1,395,03:57:40,395.0,04:24:40,ads,mobile
11000000045,1371,603,04:37:40,603.0,04:41:40,direct,mobile
11000000046,1090,420,21:31:14,420.0,22:18:14,direct,mobile
11000000047,250,656,06:49:28,656.0,06:53:28,direct,mobile
11000000048,135,825,22:22:56,825.0,23:08:56,direct,desktop
11000000049,334,569,06:53:59,569.0,07:20:59,direct,mobile
11000000050,779,825,22:28:13,825.0,23:16:13,direct,mobile
11000000051,1396,264,05:41:45,264.0,05:59:45,email,desktop
11000000052,-1,315,23:04:12,315.0,23:54:12,ads,mobile
11000000053,-1,781,10:17:32,781.0,10:19:32,direct,mobile
11000000054,732,694,14:11:54,694.0,15:01:54,direct,mobile
11000000055,1267,768,01:42:20,768.0,01:56:20,ads,desktop
11000000056,298,574,14:45:02,574.0,15:09:02,direct,mobile
11000000057,933,533,11:24:54,533.0,12:07:54,ads,mobile
11000000058,550,296,07:55:41,296.0,08:26:41,email,desktop
11000000059,-1,362,12:10:47,362.0,12:34:47,direct,mobile
11000000060,342,774,04:59:23,774.0,05:33:23,social,mobile
11000000061,568,249,13:56:30,,00:00:00,referral,mobile
11000000062,498,476,03:42:36,476.0,04:10:36,email,tablet
11000000063,-1,650,07:09:24,650.0,07:36:24,ads,mobile
11000000064,1109,823,00:12:45,823.0,00:25:45,direct,desktop
11000000065,1211,440,13:12:09,440.0,13:32:09,ads,mobile
11000000066,1443,602,19:22:00,602.0,20:11:00,direct,mobile
11000000067,811,515,02:46:17,515.0,02:58:17,email,desktop
11000000068,1160,829,09:47:57,,00:00:00,direct,desktop
11000000069,455,330,22:28:01,330.0,23:16:01,direct,mobile
11000000070,601,400,21:07:39,400.0,22:03:39,direct,mobile
11000000071,431,484,12:28:50,484.0,12:40:50,ads,mobile
11000000072,-1,343,19:00:14,343.0,19:01:14,ads,desktop
